x,y,z,vx,vy,vz,m,id
-1.1524249,2.6742232,1.6760259,0.18374911,-0.19736862,-0.14185318,1.5625001e-05,1797
-0.11080591,-1.1051117,4.5203261,-0.055412844,0.068666004,-0.2481274,1.5625001e-05,3150
-0.12047267,-0.31832138,0.058894314,-0.79232997,0.56802326,0.25136733,1.5625001e-05,4591
-2.3152804,-4.5636063,0.63308465,0.12714952,-0.027407842,-0.014732665,1.5625001e-05,5856
1.0165063,0.59299505,1.7044753,-0.17293161,0.051139243,0.31814897,1.5625001e-05,6621
0.26176962,0.012847811,-2.1725509,-0.0017054951,-0.1840916,0.010463553,1.5625001e-05,8011
-3.2474825,8.1466303,31.168156,0.016507899,-0.026726987,-0.088531449,1.5625001e-05,10466
-0.13291389,-0.26304576,-0.44010881,-1.0942866,0.5138917,-0.49554947,1.5625001e-05,16750
-0.63958949,3.7559266,0.95758694,-0.060751949,0.20308261,0.080605201,1.5625001e-05,19600
-0.010454357,-0.13353792,-0.34990877,0.22451141,-0.22356021,-1.2338592,1.5625001e-05,22770
-1.9531165,-0.36935374,-0.20559065,-0.7341193,-0.1391838,-0.075435936,1.5625001e-05,23650
2.1802039,0.51490968,-1.7065501,0.29487669,0.12395877,-0.2106526,1.5625001e-05,26765
0.95343065,-1.9322829,0.44176874,-0.40899679,0.45636433,0.085676476,1.5625001e-05,26771
0.10432041,-0.6755389,-0.60717785,-0.55084193,0.47836521,0.20631555,1.5625001e-05,29582
-0.93244237,0.33963928,-1.3916109,-0.29318848,-0.14303717,0.086113028,1.5625001e-05,34497
0.61554015,-0.41591123,1.5091281,0.078013763,-0.2053052,0.4144513,1.5625001e-05,35526
0.86209249,0.29711464,1.0690609,0.13796145,-0.23161358,0.045616161,1.5625001e-05,38199
1.3325456,0.13873136,-1.9617023,-0.087216564,0.12188654,0.2734569,1.5625001e-05,46544
-1.3466026,0.21962824,-0.043909144,-0.69820046,-0.081588835,-0.23480107,1.5625001e-05,46586
0.57423317,0.59686685,-0.007822087,-0.16888168,0.74855101,-0.22182646,1.5625001e-05,47597
0.31140101,-0.023991868,1.0534856,-0.32123995,-0.10484876,-0.59834725,1.5625001e-05,49827
0.12332175,0.60878092,-0.26493457,0.2789138,-0.30543783,0.078725502,1.5625001e-05,50170
0.3448588,-2.6589162,-0.69997317,-0.31755161,0.031102611,-0.15626366,1.5625001e-05,50534
-0.095692351,-0.76378512,0.85991299,-0.026378009,0.41282922,-0.34973514,1.5625001e-05,53000
-1.3179944,-0.14330748,0.26815382,-0.24463768,0.35213771,-0.20251296,1.5625001e-05,54442
-3.1300402,-1.3874333,1.4429487,0.30496943,0.03491839,-0.15793408,1.5625001e-05,57698
0.16184409,0.64355642,1.2994611,-0.073649824,-0.46022671,-0.33957151,1.5625001e-05,57839
1.3896418,-2.0522623,-2.0639088,-0.012439004,-0.037217963,-0.056575995,1.5625001e-05,59117
-0.21211028,1.7867329,-0.065711111,0.07812877,0.12767287,0.068613745,1.5625001e-05,59636
0.24275783,-3.8710754,-1.0060502,-0.042514741,0.14820592,0.050317429,1.5625001e-05,63358
